Date,Open,High,Low,Close,TD Reference Close Up,TD Reference Close Down
01/11/17 14:00,139.79,139.82,139.69,139.71,139.88,139.67
01/11/17 13:00,139.78,139.83,139.71,139.78,139.88,139.67
01/11/17 12:00,139.82,139.84,139.72,139.78,139.88,139.67
01/11/17 11:00,139.87,139.97,139.81,139.83,,139.67
01/11/17 10:00,139.87,139.93,139.81,139.88,,139.54
01/11/17 09:00,139.84,139.98,139.83,139.87,,139.54
01/11/17 08:00,139.68,139.94,139.58,139.85,,139.5
01/11/17 07:00,139.55,139.75,139.51,139.67,,139.44
31/10/17 17:00,139.54,139.59,139.53,139.54,,139.2
31/10/17 16:00,139.5,139.61,139.49,139.55,,139.2
31/10/17 15:00,139.44,139.51,139.32,139.5,,139.14
31/10/17 14:00,139.34,139.47,139.3,139.44,139.44,139.14
31/10/17 13:00,139.2,139.36,139.15,139.35,139.44,139.14
31/10/17 12:00,139.14,139.26,139.08,139.2,139.44,
31/10/17 11:00,139.26,139.27,139.09,139.14,139.44,139.23
31/10/17 10:00,139.45,139.51,139.26,139.26,,139.23
31/10/17 09:00,139.27,139.45,139.22,139.44,139.28,139.23
31/10/17 08:00,139.28,139.42,139.26,139.27,139.29,139.23
31/10/17 07:00,139.33,139.33,139.17,139.28,,139.22
30/10/17 17:00,139.25,139.31,139.21,139.23,139.29,139.04
30/10/17 16:00,139.29,139.35,139.24,139.26,,139.04
30/10/17 15:00,139.21,139.33,139.16,139.29,,138.9
30/10/17 14:00,139.13,139.28,139.13,139.22,,138.57
30/10/17 13:00,139.04,139.28,139.03,139.13,,138.57
30/10/17 12:00,138.91,139.11,138.8,139.04,,138.55
30/10/17 11:00,138.63,138.91,138.63,138.9,,138.49
30/10/17 10:00,138.57,138.76,138.57,138.64,,137.92
30/10/17 09:00,138.56,138.64,138.43,138.57,,137.92
30/10/17 08:00,138.5,138.64,138.44,138.55,,137.92
30/10/17 07:00,138.15,138.56,138.08,138.49,,137.82
27/10/17 17:00,137.98,138.01,137.8,137.92,138.09,137.82
27/10/17 16:00,138.09,138.11,137.96,137.99,138.17,137.82
27/10/17 15:00,137.82,138.1,137.81,138.09,138.17,
27/10/17 14:00,137.96,138.02,137.7,137.82,138.17,
27/10/17 13:00,138.06,138.11,137.93,137.95,138.17,137.99
27/10/17 12:00,138.16,138.22,138.03,138.06,,137.99
27/10/17 11:00,138.04,138.28,138,138.17,138.16,137.99
27/10/17 10:00,138.08,138.28,138.04,138.04,138.16,137.99
27/10/17 09:00,138.16,138.35,138.05,138.07,,137.99
27/10/17 08:00,138.01,138.22,137.84,138.16,138.06,137.68
27/10/17 07:00,137.98,138.01,137.81,138.01,138.06,137.63
26/10/17 17:00,138,138.07,137.93,138.06,,137.63
26/10/17 16:00,137.68,138.01,137.56,137.99,137.79,137.54
26/10/17 15:00,137.79,137.86,137.65,137.68,,136.86
26/10/17 14:00,137.63,138.04,137.59,137.79,,136.86
26/10/17 13:00,137.53,137.77,137.48,137.63,,136.85
26/10/17 12:00,137.18,137.64,137,137.54,,136.76
26/10/17 11:00,136.86,137.24,136.86,137.19,136.92,136.76
26/10/17 10:00,136.85,136.96,136.84,136.86,136.92,136.76
26/10/17 09:00,136.76,136.89,136.75,136.85,136.92,136.75
26/10/17 08:00,136.91,136.91,136.72,136.76,136.92,136.75
26/10/17 07:00,136.87,136.95,136.8,136.92,136.89,136.75
25/10/17 17:00,136.83,136.91,136.83,136.89,,136.48
25/10/17 16:00,136.83,136.93,136.82,136.84,,136.48
25/10/17 15:00,136.75,136.89,136.71,136.83,,136.48
25/10/17 14:00,136.47,136.77,136.47,136.75,136.66,
25/10/17 13:00,136.62,136.63,136.4,136.48,136.66,136.58
25/10/17 12:00,136.66,136.66,136.51,136.62,136.79,136.58
25/10/17 11:00,136.62,136.66,136.52,136.66,136.8,136.58
25/10/17 10:00,136.64,136.73,136.55,136.62,136.8,136.58
25/10/17 09:00,136.79,136.9,136.65,136.65,,136.58
25/10/17 08:00,136.81,136.83,136.59,136.79,,136.58
25/10/17 07:00,136.51,136.81,136.5,136.8,136.76,
24/10/17 17:00,136.59,136.64,136.58,136.64,136.79,
24/10/17 16:00,136.66,136.7,136.5,136.58,136.79,
24/10/17 15:00,136.76,136.81,136.63,136.65,136.79,
24/10/17 14:00,136.78,136.84,136.72,136.76,136.96,136.76
24/10/17 13:00,136.79,136.8,136.72,136.79,136.96,
24/10/17 12:00,136.77,136.83,136.73,136.79,137.08,
24/10/17 11:00,136.84,136.92,136.7,136.76,137.08,
24/10/17 10:00,136.95,136.95,136.78,136.85,137.15,
24/10/17 09:00,136.98,136.99,136.81,136.96,137.24,
24/10/17 08:00,137.09,137.18,136.9,136.99,137.24,
24/10/17 07:00,137.09,137.21,137.06,137.08,137.24,
23/10/17 17:00,137.24,137.24,137.14,137.15,,137.1
23/10/17 16:00,137.2,137.26,137.16,137.24,137.24,137.1
23/10/17 15:00,137.24,137.29,137.19,137.2,,137.1
23/10/17 14:00,137.11,137.26,137.1,137.24,137.22,137.07
23/10/17 13:00,137.19,137.22,137.1,137.1,137.22,136.94
23/10/17 12:00,137.13,137.24,137.08,137.19,137.22,136.94
23/10/17 11:00,137.08,137.18,136.95,137.13,137.22,136.7
23/10/17 10:00,137.22,137.23,137.07,137.07,,136.7
23/10/17 09:00,136.94,137.23,136.92,137.22,,136.7
23/10/17 08:00,136.78,136.94,136.75,136.94,,136.66
23/10/17 07:00,136.66,136.92,136.62,136.79,136.71,136.64
20/10/17 17:00,136.69,136.73,136.64,136.71,136.7,136.6
20/10/17 16:00,136.67,136.72,136.65,136.7,136.68,136.6
20/10/17 15:00,136.64,136.77,136.62,136.66,136.68,136.6
20/10/17 14:00,136.6,136.73,136.45,136.64,136.68,
20/10/17 13:00,136.68,136.78,136.58,136.6,136.78,136.66
20/10/17 12:00,136.68,136.73,136.64,136.68,136.85,136.59
20/10/17 11:00,136.66,136.72,136.6,136.68,136.85,136.59
20/10/17 10:00,136.77,136.9,136.64,136.66,136.98,136.59
20/10/17 09:00,136.6,136.78,136.56,136.78,136.98,
20/10/17 08:00,136.86,136.88,136.59,136.59,137.05,136.76
20/10/17 07:00,136.8,136.85,136.65,136.85,137.08,136.76
19/10/17 17:00,136.99,137.03,136.95,136.97,137.08,136.76
19/10/17 16:00,137.04,137.08,136.91,136.98,137.08,136.76
19/10/17 15:00,137.08,137.15,136.96,137.05,,136.76
19/10/17 14:00,136.89,137.12,136.89,137.08,,136.72
19/10/17 13:00,136.81,137.02,136.74,136.89,,136.72
19/10/17 12:00,136.76,136.81,136.68,136.81,136.77,136.74
19/10/17 11:00,136.72,136.87,136.64,136.76,136.77,
19/10/17 10:00,136.78,136.88,136.65,136.72,136.84,136.74
